column,non_missing_count,missing_count,missing_percent
patient_id,1251,0,0.0
scan_id,1251,0,0.0
t2,1027,224,17.905675459632295
dwi,1027,224,17.905675459632295
adc,0,1251,100.0
prostate_mask,1251,0,0.0
lesion_mask,0,1251,100.0
pirads,0,1251,100.0
pirads_ge4,0,1251,100.0
gleason_group,0,1251,100.0
gleason_ge2,0,1251,100.0
dwi_quality_bin,0,1251,100.0
dwi_quality_ord,0,1251,100.0
quality_ternary,0,1251,100.0
site,0,1251,100.0
vendor,0,1251,100.0
field_strength,0,1251,100.0
b_value,1027,224,17.905675459632295
notes,0,1251,100.0
